Fecha,Matrícula,Intersección,Infracción,Valor en UR,Multas
2016-12-20,AAK 4244,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-24,AAK 4669,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-15,AAK 5191,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-13,AAK 5409,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-24,AAK 5600,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-25,AAK 5670,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-20,AAK 5755,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-17,AAK 5859,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-23,AAK 5967,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-13,AAK 6152,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-25,AAK 6336,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-25,AAK 6628,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-23,AAK 6708,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-18,AAK 6803,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-12,AAK 7193,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-22,AAK 7783,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-14,AAK 8024,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-16,AAK 8653,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-14,AAK 8807,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-21,AAK 8924,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-24,AAK 9574,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-12,AAK 9715,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-15,AAK3223,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-14,AAK4115,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-15,AAK5267,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-10,AAL 1450,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-25,AAL 1493,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-19,AAL 1670,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-24,AAL 1836,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-17,AAL 2170,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-20,AAL 2435,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-11,AAL 2483,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-21,AAL 2505,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-23,AAL 2611,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-20,AAL 2717,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-20,AAL 2745,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-24,AAL 2750,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-23,AAL1534,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-23,AAN 1678,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-10,AAN 2407,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-19,AAN 2935,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-14,AAN 2965,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-20,AAN 3166,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-23,AAN 3204,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-26,AAN 3231,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-17,AAN 3298,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-21,AAN 3577,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-17,AAN 3616,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-16,AAN 3739,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-25,AAN 4369,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-22,AAN 4546,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-20,AAN 4740,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-24,AAN 5239,Bv. Artigas y 21 De Setiembre,Cruzar o girar con luz roja,5,1
2016-12-14,AAN 5876,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-26,AAN 5972,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-12,AAN 5998,Bv. Artigas y 21 De Setiembre,Cruzar o girar con luz roja,5,1
2016-12-19,AAN 6591,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-21,AAN 7048,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-12,AAN 7148,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-24,AAN 7285,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-21,AAN 8164,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-26,AAN 8825,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-17,AAN 8840,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-20,AAN 8840,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-10,AAN 9300,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-14,AAN 9525,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-24,AAN 9563,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-26,AAN 9734,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-20,AAN 9824,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-18,AAN 9848,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-16,AAN6353,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-19,AAO 1307,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-13,AAO 1444,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-20,AAO 1522,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-25,AAO 1882,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-12,AAO 2097,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-25,AAO 2560,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-17,AAO 3311,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-26,AAO 3939,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-17,AAO 4013,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-20,AAO 4051,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-16,AAO 4533,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-21,AAO 4533,R Rep Argentina y Carlos M Morales,Exceso de velocidad,8,1
